"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
"DARC","RGS5","VWF","BTNL9","PRG4","CXCL14","ANGPTL7","RERGL","S100A4","CLDN1","PTPRC","CCL3","MPZ"
"HSPA1A","IGFBP5","PLVAP","SEMA3G","MFAP5","C3","SAA1","CASQ2","LGALS1","SCN7A","CCL5","FCER1G","S100B"
"TNFRSF10D","ACTA2","DARC","NOTCH4","PCOLCE2","ABCA8","MMP3","ENTPD3","FTL","SLC22A3","IL7R","C1QA","SOX2"
"SOCS3","STEAP4","AQP1","SOX17","LUM","ABCA10","FIBIN","PLN","RPLP1","ENTPD2","CD69","TYROBP","FOXD3"
"HSPA1B","TAGLN","RNASE1","SRGN","VCAN","EMID1","CHAD","NTRK3","S100A6","CDH19","CD2","AIF1","NRXN1"
"NRN1","SYNPO2","HSPG2","PODXL","ABI3BP","ABCA6","CILP2","MYH11","RPL12","FOXD1","GZMA","C1QC","AATK"
"HLA-E","CALD1","RAMP3","GPIHBP1","THBS4","GPC3","STEAP2","PRPH","RPL41","TENM2","CD48","LYZ","MT3"
"IRF1","MYL9","CD74","SLC9A3R2","ACKR3","EFEMP1","BMPR1B","CSDC2","RPL30","PCDH8","RAC2","MS4A6A","PMP2"
"DNAJA1","ABCC9","RAMP2","TMEM178A","NOVA1","C7","RARRES1","RBPMS2","RPL13","RP11-60A8.1","CD3G","C1QB","AZGP1"
"ICAM1","NOTCH3","APLNR","CXCL12","MMP2","PTGFR","MKX","CKMT2","RPS13","DLEU7","CD3E","LST1","SOX10"
"RAMP3","CD44","EGFL7","BST2","TNFAIP6","IGF1","SCXA","GPRC5C","RPL18A","PTGDS","CD3D","FOLR2","NCMAP"
"SLC2A3","ID4","CD93","HEY1","SCARA5","SFRP1","SFRP2","DES","RPL21","FZD2","LTB","CYBB","MAG"
"LRG1","ZEB2","PRCP","CLDN5","LRP1","MXRA5","CILP","RP11-332H18.4","RPL39","KANK4","NKG7","PTPRC","KIF1A"
"KLF4","CPE","ENG","CAV1","FBLN1","PDGFRA","CDO1","NRIP2","RPL10","ZNF280A","CD96","HCST","GPR37L1"
"IER3","TPM2","ITGA6","ICAM2","MRC2","TSPAN11","THBS2","CNN1","CST3","COL28A1","KLRB1","CLEC7A","CDH19"
"CDKN1A","THY1","RASA4","FABP4","ANGPTL5","NEGR1","SEMA3C","TBX2","PFDN5","P2RY14","CST7","FCGR2B","CLDN19"
"PLVAP","LGI4","NPDC1","SSUH2","MGST1","MMP2","COMP","KCNMB1","SAA1","FOXD2","CORO1A","CLEC10A","ROPN1"
"JUNB","IGFBP7","ECSCR","FAM107A","GAS1","LSP1","PTN","KCNAB1","RPL22","TNNT2","AC092580.4","SPI1","MIA"
"HLA-DRA","TPM1","GNG11","IGF2","CD248","PODN","ANGPTL5","GPR20","SERF2","SFRP5","BCL11B","MS4A7","ENTHD1"
"CCL14","PMEPA1","RPS28","IFI27","CRLF1","FGL2","MYOC","ACTG2","RPS27A","GPC3","LCP1","CSF1R","KRT14"
"AC011526.1","LMOD1","CXorf36","SYT1","CRABP2","CCDC80","THBS4","RAMP1","RPS3A","KLK1","CD52","FCGR2A","COL28A1"
"NFKBIA","FHL2","FKBP1A","ANXA3","DPT","SCARA5","TGFBR3L","PIP5K1B","RPL29","SLC2A1","MS4A1","MSR1","BCAS1"
"CD74","NR2F2","GIMAP7","A2M","PDGFRA","ABI3BP","COL12A1","CABP1","IGFBP6","EMILIN3","CD40LG","ALOX5AP","SLC25A48"
"PPP1R15A","CXCL12","CD34","B2M","ISLR","MYOC","CMYA5","LDB3","DCN","CTD-2339F6.1","GZMK","PLEK","NKAIN3"
"C2CD4B","PRRX1","HLA-A","ASS1","CILP","FBLN1","WISP2","RCAN2","FTH1","BMP7","SAMD3","LCP1","DRP2"
"TPT1","GGT5","PTPRB","RAMP2","C1QTNF3","DIO2","FBLN1","ITGA8","MT-ND3","KRT19","CTSW","VSIG4","MAL"
"THBD","FGF7","SOX18","RGCC","DPP4","SERPINE2","FMOD","FRZB","RPS15","TNFRSF19","PTPRCAP","F13A1","RP4-792G4.2"
"DNAJB1","GUCY1A2","ELTD1","LINC00982","CREB5","RNF24","COL11A2","SPEG","RPS8","ABCA9","SAMSN1","EMB","ZNF536"
"SLC25A25","COL14A1","GIMAP4","JAG2","FNDC1","APOE","KCNMA1","ATP1B2","ANGPTL5","ADH1B","RP11-94L15.2","RGS1","GRIA2"
"IFI27","CHCHD10","MMRN2","RDX","PDGFRL","C6","STEAP1","CACNA1H","RPL9","FGFBP2","CD37","ITGB2","KCTD4"
"ECSCR","PPP1R14A","TSPAN7","CD300LG","LINC01133","HTRA3","PCOLCE2","TPM2","RPL11","RNF157","GPR65","CD163","SLC36A2"
"HLA-DRB1","RARRES2","SEPW1","LPCAT2","HAS1","APOD","ALDH1A1","SBSPON","RPS27","C3orf55","PRKCQ-AS1","MARCH1","CAMK2B"
"ICAM4","TMEM176B","IL33","FAM89A","SEMA3C","COLEC12","PRELP","WFDC1","GPX3","PODNL1","SKAP1","MPEG1","KCNK12"
