p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
5.81106579671255e-108,4.22800094703477,1,1,1.04837438038491e-103,KO,Kcnj15
6.49754314058223e-89,2.46211673236237,1,1,1.17222175799244e-84,KO,Ucma
4.49266407267965e-87,-2.36478880102333,1,1,8.10521525352137e-83,KO,Ppp1r3c
4.61493798899653e-74,2.19850090169582,1,1,8.32580962594864e-70,KO,Net1
2.75450295510129e-62,-2.83700122737315,1,1,4.96939878129824e-58,KO,Slc7a11
8.90595517591385e-57,-2.09794155542376,1,1,1.60672337328662e-52,KO,Gsg1l
3.37955280657741e-53,2.19249299435041,1,1,6.09705121834631e-49,KO,Plod2
1.74386155534334e-48,1.37342417059936,1,1,3.14610063199492e-44,KO,Spry1
1.68260712892814e-41,3.30403363320851,1,1,3.03559152129926e-37,KO,Cnr1
1.15221002593174e-40,1.48136590591533,1,1,2.07870210778345e-36,KO,Specc1
8.20777206008917e-40,1.55514255623943,1,1,1.48076415736069e-35,KO,Bgn
2.23331016969938e-38,-2.21297293430436,1,1,4.02911487715464e-34,KO,Plbd1
4.60516249467865e-38,2.18417686194374,1,1,8.30817365664975e-34,KO,Shisa2
6.80855252896572e-37,1.98141027176115,1,1,1.22833096175071e-32,KO,Adam23
7.8005121929031e-37,1.58806717447865,1,1,1.40729040472165e-32,KO,Pamr1
9.27920407628041e-37,-1.24013122158947,1,1,1.67406120740175e-32,KO,Bambi
9.5167505946063e-37,1.39035309893468,1,1,1.71691697477292e-32,KO,Pcsk5
1.52240152393694e-36,1.85204003461584,1,1,2.74656458933464e-32,KO,Fgf18
2.13869269083583e-35,-2.83321334405622,1,1,3.85841548353692e-31,KO,Cuzd1
6.95119923329252e-34,-1.91801134391726,1,1,1.2540658536783e-29,KO,Nos1
5.5396681761524e-33,1.34859781309896,1,1,9.99411535659655e-29,KO,Cfb
5.42810433211223e-31,1.56455519494052,1,1,9.79284302556367e-27,KO,Col5a1
8.23590567932718e-31,-1.1655736713914,1,1,1.48583974360742e-26,KO,Fam46c
1.32324781893704e-30,-1.26915214573536,1,1,2.38727139014431e-26,KO,Pla2g5
3.95190490407604e-30,3.3235961356386,1,1,7.12963163744358e-26,KO,Htra4
4.19061376987347e-30,1.61296111044142,1,1,7.56028630222873e-26,KO,Acp5
4.32321269884733e-30,2.00229235954621,1,1,7.79950802999047e-26,KO,Nov
1.37689446778478e-29,-1.31030845414197,1,1,2.48405530933053e-25,KO,Spock2
2.64799731458034e-28,1.21833329699087,1,1,4.77725195523439e-24,KO,Sod3
2.65153933324072e-28,-1.79948151532196,1,1,4.78364211109958e-24,KO,Wnt16
1.76433809222105e-27,1.13326237326357,1,1,3.18304235217599e-23,KO,Fn1
2.84369294084112e-27,-1.03371463662346,1,1,5.13030643457147e-23,KO,Focad
6.06009483661312e-27,1.17495813446032,1,1,1.09330170947337e-22,KO,Gpc1
8.78492154783356e-27,-1.46737602992585,1,1,1.58488769644465e-22,KO,Tagap
1.33304894082936e-25,-1.0130711767795,1,1,2.40495359415024e-21,KO,Mylk
2.2026033009621e-25,-1.06026608365976,1,1,3.97371661526573e-21,KO,Cadm1
4.43762363830147e-25,2.09222710397681,1,1,8.00591680585969e-21,KO,Lypd1
5.61977929433913e-25,-2.39505032066614,1,1,1.01386438249172e-20,KO,Grid2
1.11075017495571e-24,-1.05561856333993,1,1,2.0039043906376e-20,KO,Mkx
3.10570425119247e-24,-0.821060230170346,1,1,5.60300103957634e-20,KO,Sned1
8.60687202539946e-24,-1.85958206556682,1,1,1.55276578210232e-19,KO,Alcam
9.92995577894469e-24,-1.36505592092884,1,1,1.79146332207941e-19,KO,Itga2
1.05320268331944e-23,1.51898080227885,1,1,1.9000829609766e-19,KO,Erg
1.43151973933227e-23,-0.793429550080064,1,1,2.58260476172935e-19,KO,Stab1
1.58021373829991e-23,-1.77070606003022,1,1,2.85086360526686e-19,KO,Amph
6.29095422487202e-23,1.57513852132728,1,1,1.13495105170916e-18,KO,Acan
7.72781434852803e-23,0.966009061030471,1,1,1.39417498661794e-18,KO,Igfbp7
8.54038099017559e-23,1.2088452335064,1,1,1.54077013443758e-18,KO,Hmcn2
1.85847563199235e-22,1.05550216501438,1,1,3.3528758876774e-18,KO,Matn3
8.14788704829637e-21,-2.24723499791088,1,1,1.46996030238315e-16,KO,Masp1
1.11550200973863e-20,1.54299281302595,1,1,2.01247717576947e-16,KO,Armc4
1.38108916251729e-20,-0.875961712468641,1,1,2.49162295809745e-16,KO,Fosb
1.8648164296169e-20,1.90095876119305,1,1,3.36431532067185e-16,KO,Gm8990
1.91367584688081e-20,1.79974035755907,1,1,3.45246259535768e-16,KO,Penk
2.36661646267296e-20,1.02060169862058,1,1,4.26961276030829e-16,KO,Cilp2
2.59998511302607e-20,1.34540182235073,1,1,4.69063314241034e-16,KO,Ism1
4.53341090599053e-20,1.37140661788863,1,1,8.17872661549752e-16,KO,Col18a1
4.61479479549317e-20,1.02814606789726,1,1,8.32555129054923e-16,KO,Enpp2
5.32733314717391e-20,-0.925903917559615,1,1,9.61104173081646e-16,KO,Leprel1
5.90827213373258e-20,-1.51448998584873,1,1,1.06591137564669e-15,KO,Cps1
2.10709897974904e-19,2.3431311873884,1,1,3.80141726936525e-15,KO,Cacng7
2.41051798140853e-19,-1.32076031974082,1,1,4.34881549025912e-15,KO,Phyhd1
3.03355424876147e-19,1.27934528277693,1,1,5.47283522019056e-15,KO,Sybu
7.5949445758988e-19,-0.797053150506778,1,1,1.3702039509379e-14,KO,Kcnma1
9.38702202674369e-19,1.76190650607837,1,1,1.69351264384483e-14,KO,Adh7
1.43846788353404e-18,1.79050742382013,1,1,2.59513990868376e-14,KO,Prelp
1.8951337904206e-18,-0.942287321779543,1,1,3.4190108712978e-14,KO,Pitpnm3
3.00626513626547e-18,-2.41591377830105,1,1,5.42360293233653e-14,KO,LOC102637600
3.17395980611729e-18,-0.860315983589648,1,1,5.7261408862162e-14,KO,Met
1.05848399692152e-17,1.06784063000136,1,1,1.90961097884611e-13,KO,Gpc4
1.95699563168621e-17,-2.33020026002702,1,1,3.5306158191251e-13,KO,Car12
2.30106574916038e-17,-0.89423963899756,1,1,4.15135271806023e-13,KO,Aff2
3.14482852612165e-17,0.937689760351109,1,1,5.67358514397608e-13,KO,Slc16a2
3.65798225863574e-17,2.02994089790681,1,1,6.59936579280474e-13,KO,Pnldc1
4.25759028079262e-17,-1.25004335844273,1,1,7.68111862557796e-13,KO,Sema3a
7.13274175260659e-17,1.33985932919106,1,1,1.28681793958775e-12,KO,Nt5e
8.65287266463906e-17,-0.756088090827373,1,1,1.56106475742753e-12,KO,Srgap3
1.36853816022741e-16,-0.991423163075089,1,1,2.46897969486627e-12,KO,Rab11fip4
1.36992827581348e-16,-1.03011705341935,1,1,2.47148760239509e-12,KO,Fbln1
1.37022022787744e-16,1.19941698779008,1,1,2.4720143131137e-12,KO,Tpm2
1.40515864872558e-16,1.06471073699243,1,1,2.53504671816581e-12,KO,Als2cl
1.57743112304632e-16,1.12091523542113,1,1,2.84584348908787e-12,KO,Nrep
2.18595545400459e-16,-2.25357751388735,1,1,3.94368223456968e-12,KO,Ndst4
2.30625829908576e-16,1.46399446157277,1,1,4.16072059738061e-12,KO,Fbln7
3.17865556595137e-16,0.851160804366293,1,1,5.73461250653286e-12,KO,Mmp2
3.56778041443099e-16,1.06460592068292,1,1,6.43663264567495e-12,KO,Ecscr
4.79986130293511e-16,-0.96549488901162,1,1,8.65942977662523e-12,KO,B230118H07Rik
5.14047966978603e-16,-1.83211076475162,1,1,9.27393937226098e-12,KO,Lepr
5.76112999800404e-16,0.881899248289209,1,1,1.03936546293991e-11,KO,Agap1
8.44369819168553e-16,-0.555839203714418,1,1,1.52332759076199e-11,KO,Zfp106
1.0025619090723e-15,1.35762646625032,1,1,1.80872194015733e-11,KO,Reep1
1.30131773839062e-15,-1.70474809223842,1,1,2.34770733183052e-11,KO,Syt13
1.329980165557e-15,0.899355341474185,1,1,2.39941721668138e-11,KO,Dpt
1.46088456479415e-15,1.05031400842399,1,1,2.63558184334512e-11,KO,Sertad4
1.59792326756407e-15,1.30877578754225,1,1,2.88281336701233e-11,KO,Serpine1
1.82500200253216e-15,-0.828109071400647,1,1,3.29248611276828e-11,KO,Adamts2
1.92523102006321e-15,0.984105676635161,1,1,3.47330928329604e-11,KO,Sulf2
2.08084613928065e-15,1.05005711451268,1,1,3.75405451987623e-11,KO,Tmem100
2.20379604313176e-15,0.926408066628836,1,1,3.97586844141401e-11,KO,Col5a2
2.70163690456607e-15,-1.26369203902756,1,1,4.87402313952764e-11,KO,Enc1
2.82742990673493e-15,-1.29258839845805,1,1,5.10096629474049e-11,KO,Kit
3.06571686526058e-15,-2.30258509299405,1,1,5.53085979661661e-11,KO,Fgfr4
3.38593639135626e-15,-1.72923911224672,1,1,6.10856784364583e-11,KO,Robo2
4.28720150871201e-15,-0.664682641054572,1,1,7.73454024186734e-11,KO,Synm
4.52758664517041e-15,-0.811369294159717,1,1,8.16821906655194e-11,KO,Rps6ka1
4.88799111480469e-15,-1.60118477067738,1,1,8.81842477021915e-11,KO,Popdc3
