"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14"
"MT1X","MMP3","GADD45B","COL2A1","SCRG1","POSTN","TPPP3","RGS5","PLA2G2A","PLA2G2A","TAGLN","ACP5","TK1","CCL20","CNKSR3"
"ANGPTL7","SOD2","JUNB","FN1","CILP2","MMP2","TGFBI","TAGLN","SFRP2","CFD","MUSTN1","CYFIP2","LGALS1","G0S2","PTPRZ1"
"CDO1","INHBA","FOSB","CRLF1","COL3A1","MMP14","PRSS23","COL18A1","CFD","GSN","MYL9","PLN","CCNB2","C1orf56","FSTL3"
"CILP","AKR1C1","FOS","HTRA1","ACAN","COL1A1","AQP1","SPARCL1","CYP1B1","MFAP5","DES","NOTCH3","STMN1","SLURP1","TENM3"
"CHAD","SERPINE2","IER2","OGN","CHAD","TGFBI","CRLF1","COL4A1","CXCL2","FBLN2","CYFIP2","MUSTN1","PCLAF","CXCL8","TSPAN11"
"CLU","AKR1C2","ID1","MIA","CLEC3A","NBL1","FN1","NOTCH3","IGFBP4","CCN5","ACTC1","PPP1R14A","CENPA","CSF1","NTM"
"GPX3","FGF2","ZFP36","SERPINE2","COL1A2","RGS3","TNFAIP6","ACTA2","CXCL3","GPNMB","WFDC2","GUCY1A1","TROAP","BPGM","EDNRB"
"IGFBP6","MRPS24","HES1","FGFBP2","SPARC","SPON2","LOXL2","A2M","SPARCL1","FBLN1","INMT","CCL8","TMEM106C","NFKB1","LAMA5"
"FBLN1","SOX9","MT1X","TNFAIP6","LOX","MAFB","CRIP1","MCAM","GSN","MMP2","MIR4435-2HG","TAGLN","TUBA1B","ITGB8","OLFML2A"
"PRELP","DGKI","JUN","RGCC","COL1A1","GPNMB","COL5A1","CALD1","EFEMP1","PLAC9","LINC00924","AC104083.1","BEND6","CXCL2","CLEC14A"
"SAA1","AKR1B1","RGS16","SLC7A2","ANGPTL7","COL6A3","HSD3B7","MYL9","SERPINF1","SPARCL1","MCAM","SPARCL1","SKA2","C11orf96","FST"
"COMP","MTHFD2","NFKBIA","CD55","COL5A1","CTHRC1","COL6A3","ID4","COL14A1","IGFBP4","ACTA2","CD200","TFPI2","LINC01358","WARS"
"THBS4","XBP1","ID3","TNFRSF11B","LTBP2","ANGPTL2","CD70","COL4A2","FBLN2","TNXB","LRRC32","RARRES2","C12orf75","PTGS2","HLA-DRB5"
"ECRG4","WTAP","EGR1","TREM1","COMP","CADM1","RGCC","IGFBP7","CXCL12","TSHZ2","CALD1","CLMN","ZWINT","TNFSF9","ITGB8"
