0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ACKR1,CLU,CALCRL,COL1A1,RERGL,RGS5,EFNB2,ACTA2,HLA-DRA,MT-ND2,ANGPTL7,CCL5,PCOLCE2,SYNPO2,CLDN1,CENPF,SERPINA1,TFF3,MPZ,TPSB2,GNLY
CCL14,TNFRSF11B,APLNR,CXCL14,MUSTN1,STEAP4,SEMA3G,SYNPO2,HLA-DRB1,MT-ND4,KERA,CD69,PRG4,STEAP4,FOXD1,TOP2A,TMEM196,PROX1,S100B,TPSAB1,GZMB
VWF,PRG4,ITGA6,COL3A1,MYH11,CD36,SOX17,ACTG2,TYROBP,MT-ND3,CILP2,PTPRC,PRELP,FHL5,TENM2,ASPM,SHISAL2B,NTS,COL28A1,CPA3,XCL2
LIFR,DCN,PLVAP,COL6A3,ACTA2,ABCC9,NOTCH4,CNN1,HLA-DPB1,MT-ND5,THBS4,IL7R,CDO1,MYH11,SCN7A,MKI67,ZNF385B,PKHD1L1,BCAS1,CTSG,KLRD1
RAMP3,COMP,COL15A1,COL1A2,TPM2,NOTCH3,GJA5,ADGRL3,HLA-DPA1,MT-ND1,CHAD,CXCR4,CILP,LMOD1,CDH19,TYMS,PART1,PIK3C2G,CDH19,MS4A2,PRF1
PECAM1,CILP,H19,SFRP2,TAGLN,GUCY1A2,C19orf33,MYH11,LYZ,PECAM1,SFRP2,GZMK,FGFBP2,PPP1R14A,AC116345.1,NUSAP1,OGN,STAB2,PMP2,SLC18A2,GZMH
EGFL7,PRELP,GNG11,CCDC80,PLN,COX4I2,TMEM178A,LMOD1,C1QA,MT-CYB,FMOD,KLRB1,COMP,ACTA2,PCDH8,PCLAF,CRLF1,SEMA3A,MT3,IL1RL1,PLAC8
NPDC1,LUM,PRCP,THY1,MYL9,CCDC102B,AC004540.2,MFAP4,CCL3,MT-CO3,SEMA3C,LTB,FMOD,ADGRL3,PRAP1,UBE2C,GDF10,RELN,MAL,RGS13,KLRF1
PLVAP,FGFBP2,RAMP2,COL14A1,C11orf96,GJC1,BTNL9,PPP1R14A,AIF1,MT-CO1,LRRC15,NKG7,TNFRSF11B,CNN1,SHISA3,BIRC5,PLA2G2A,GPR182,NCMAP,CMA1,TBX21
DUSP23,PCOLCE2,VWA1,CFH,TPM1,KCNJ8,SRGN,MUSTN1,CXCL8,SPARCL1,CHODL,GZMA,CHAD,MUSTN1,P2RY14,TPX2,DEFB1,LINC00636,SFRP5,HDC,KLRC2
CCL23,CDO1,TM4SF18,COL5A2,RGS5,NCKAP5,SSUH2,SYTL2,CCL3L1,MT-CO2,FBLN1,HCST,LUM,MRVI1,VIT,PRC1,DPT,CCL21,GJC3,RHEX,KLRC3
AQP1,EMP3,PECAM1,COL6A2,SORBS2,HIGD1B,PODXL,INPP4B,HLA-DQB1,MT-ND4L,ANGPTL5,CD2,CLU,PARM1,ENTPD2,TK1,CRTAC1,ART4,CDH7,GCSAML,SH2D1B
NRN1,MT1X,PODXL,C7,PPP1R14A,PTGER3,ANXA3,FHL5,C1QC,VWF,PRELP,CD52,ANGPTL5,PLN,AC064875.1,CDK1,BCAT1,KLHL4,DRP2,HPGD,IFNG
PCAT19,IGFBP6,HSPG2,SERPINF1,DSTN,COL5A3,LINC00639,HMCN2,HLA-DRB5,MT-ATP6,FIBIN,CD3D,MT1X,CPE,SLC22A3,ANLN,CAPS,LYVE1,SORCS1,RAB27B,CST7
ECSCR,CRYAB,CD93,COL6A1,MCAM,AVPR1A,ACE,MRVI1,FCER1G,EGFL7,PTN,LCP1,DCN,PDE5A,KANK4,KNL1,SLC16A10,TNFRSF11A,RELN,HPGDS,PYHIN1
